level,LandR,LminusR,slope,Subject_Code,syll1,syll2
200,L>R,80,3,Man,3,2
200,L>R,60,3,Man,3,2
220,L>R,20,2,Man,3,1
240,L>R,120,4,Man,3,2
240,L>R,40,0,Man,3,1
120,L=R,0,2,Man,3,2
120,L<R,-80,3,Man,3,1
140,L=R,0,4,Man,-3,2
140,L<R,-80,1,Man,3,1
160,L=R,0,0,Man,3,1
160,L<R,-40,3,Man,3,1
180,L>R,60,6,Man,3,2
180,L=R,0,5,Man,-3,2
200,L>R,60,1,Man,3,2
220,L>R,100,0,Man,3,2
220,L>R,40,0,Man,3,1
240,L>R,60,3,Man,3,2
120,L<R,-20,0,Man,-3,1
140,L>R,20,5,Man,-3,2
160,L<R,-40,4,Man,-3,1
160,L<R,-60,1,Man,-3,1
180,L>R,20,4,Man,-3,2
180,L<R,-40,0,Man,-3,1
200,L>R,80,6,Man,3,2
200,L>R,20,3,Man,-3,2
220,L>R,80,0,Man,3,2
220,L>R,40,6,Man,-3,2
240,L>R,60,5,Man,3,2
240,L>R,40,3,Man,3,1
120,L=R,0,0,Man,3,2
120,L<R,-20,2,Man,3,1
140,L=R,0,0,Man,3,1
140,L<R,-40,2,Man,-3,1
160,L>R,20,2,Man,3,2
160,L=R,0,1,Man,-3,1
180,L>R,40,2,Man,1,2
180,L=R,0,3,Man,-3,2
200,L>R,40,2,Man,3,2
200,L>R,20,4,Man,-3,2
220,L>R,80,2,Man,3,2
220,L>R,20,1,Man,3,1
240,L>R,100,5,Man,3,2
120,L<R,-20,5,Man,-3,1
120,L<R,-100,2,Man,3,1
140,L>R,20,1,Man,3,2
140,L<R,-100,0,Man,3,1
160,L=R,0,5,Man,-3,2
160,L<R,-20,0,Man,-3,1
180,L>R,40,5,Man,3,2
200,L<R,-20,2,Man,-3,1
220,L>R,60,0,Man,3,1
220,L>R,20,3,Man,3,1
240,L>R,120,2,Man,3,2
240,L>R,20,2,Man,3,1
120,L<R,-60,2,Man,3,1
120,L<R,-100,1,Man,3,2
140,L<R,-40,3,Man,-3,1
160,L>R,20,3,Man,-3,2
160,L=R,0,3,Man,-3,2
180,L<R,-20,0,Man,3,1
180,L<R,-60,0,Man,-3,1
200,L>R,60,4,Man,3,2
200,L<R,-20,0,Man,-3,1
220,L>R,60,6,Man,3,2
240,L>R,80,1,Man,3,2
240,L>R,60,4,Man,3,2
120,L=R,0,3,Man,-3,2
120,L<R,-40,3,Man,-3,1
140,L>R,20,6,Man,-3,2
140,L<R,-20,3,Man,-3,1
160,L>R,20,1,Man,3,1
180,L>R,60,1,Man,3,2
180,L<R,-20,3,Man,-1,2
200,L>R,40,0,Man,3,1
200,L>R,40,1,Man,3,1
220,L>R,100,4,Man,3,2
220,L>R,100,6,Man,1,2
240,L>R,120,5,Man,3,2
240,L>R,40,2,Man,3,1
120,L<R,-40,5,Man,3,1
120,L<R,-80,2,Man,3,1
140,L<R,-40,0,Man,3,1
140,L<R,-80,0,Man,-3,1
160,L<R,-20,6,Man,-3,2
160,L<R,-60,2,Man,-3,1
180,L=R,0,0,Man,3,1
180,L=R,0,2,Man,-3,2
200,L>R,20,6,Man,-3,2
200,L=R,0,2,Man,3,1
220,L<R,-20,0,Man,-3,1
240,L>R,20,1,Man,3,1
120,L<R,-60,1,Man,-3,1
120,L<R,-60,5,Man,-3,1
140,L>R,20,3,Man,-1,2
140,L<R,-80,2,Man,-3,1
160,L<R,-40,1,Man,-3,1
180,L=R,0,4,Man,-3,2
180,L<R,-20,1,Man,-3,1
200,L>R,80,1,Man,3,2
200,L>R,20,2,Man,3,1
220,L>R,60,5,Man,3,2
220,L=R,0,0,Man,3,1
240,L>R,100,6,Man,3,2
120,L<R,-40,1,Man,-3,1
140,L<R,-20,5,Man,-3,2
140,L<R,-60,2,Man,3,1
160,L<R,-20,3,Man,-2,1
180,L>R,60,4,Man,3,2
180,L=R,0,6,Man,-2,2
200,L>R,60,2,Man,3,2
200,L=R,0,3,Man,3,3
220,L>R,60,2,Man,3,2
220,L>R,40,3,Man,3,2
240,L>R,100,0,Man,3,1
240,L>R,60,0,Man,3,1
120,L=R,0,1,Man,-3,2
120,L<R,-20,3,Man,-3,2
140,L<R,-60,4,Man,-3,1
160,L>R,20,0,Man,3,1
160,L<R,-60,0,Man,3,1
180,L>R,20,5,Man,2,2
200,L>R,80,4,Man,3,2
200,L=R,0,4,Man,3,1
220,L>R,40,2,Man,3,2
220,L=R,0,2,Man,3,1
240,L>R,80,0,Man,3,1
240,L>R,40,1,Man,3,1
120,L=R,0,6,Man,-3,2
120,L<R,-40,2,Man,-3,1
140,L<R,-40,5,Man,-3,1
140,L<R,-60,3,Man,-3,1
160,L<R,-20,4,Man,-3,2
160,L<R,-40,2,Man,-3,1
180,L>R,60,3,Man,3,1
180,L>R,40,3,Man,3,2
200,L>R,40,6,Man,3,2
220,L>R,100,1,Man,3,2
220,L>R,80,5,Man,3,2
240,L>R,120,1,Man,3,2
240,L>R,80,3,Man,3,2
120,L=R,0,5,Man,-3,2
140,L=R,0,5,Man,-3,2
140,L<R,-20,6,Man,-3,2
160,L>R,40,0,Man,3,1
180,L<R,-40,2,Man,-2,1
200,L>R,40,4,Man,3,2
200,L>R,20,0,Man,3,1
220,L>R,100,5,Man,3,2
220,L>R,20,4,Man,3,1
240,L>R,120,3,Man,3,2
240,L>R,100,3,Man,3,2
120,L<R,-20,1,Man,3,1
120,L<R,-120,0,Man,-3,1
140,L<R,-20,0,Man,3,1
140,L<R,-40,1,Man,-3,1
160,L<R,-20,1,Man,3,1
180,L>R,60,0,Man,3,1
180,L>R,20,3,Man,2,2
200,L>R,80,5,Man,3,2
200,L>R,40,5,Man,2,2
220,L>R,100,3,Man,3,2
220,L>R,40,5,Man,2,2
240,L>R,120,0,Man,2,1
240,L>R,60,1,Man,2,1
120,L=R,0,4,Man,-3,1
120,L<R,-60,6,Man,-3,1
140,L=R,0,1,Man,-3,2
140,L<R,-20,4,Man,-3,2
160,L>R,40,5,Man,-2,2
160,L<R,-20,2,Man,-3,1
180,L>R,60,5,Man,3,2
180,L<R,-20,2,Man,2,1
200,L>R,60,6,Man,3,2
200,L<R,-40,0,Man,-3,1
220,L=R,0,1,Man,3,1
240,L>R,100,4,Man,3,2
160,L=R,0,6,Man,-3,2
120,L<R,-60,0,Man,-3,1
120,L<R,-60,4,Man,-3,1
140,L<R,-20,2,Man,-3,1
160,L>R,40,2,Man,3,2
160,L<R,-40,0,Man,-3,1
180,L>R,40,6,Man,3,2
200,L>R,80,2,Man,3,1
200,L>R,20,5,Man,2,2
220,L>R,60,3,Man,3,2
220,L>R,20,0,Man,3,1
240,L>R,120,6,Man,3,1
240,L>R,60,6,Man,3,2
120,L<R,-40,0,Man,-3,1
140,L<R,-20,1,Man,-3,1
140,L<R,-60,1,Man,-3,1
160,L>R,20,5,Man,-2,2
160,L<R,-80,0,Man,3,1
180,L>R,20,0,Man,3,1
180,L<R,-40,1,Man,-3,1
200,L>R,20,1,Man,3,1
200,L=R,0,0,Man,3,1
220,L>R,80,3,Man,3,2
220,L>R,40,4,Man,3,2
240,L>R,60,2,Man,3,1
240,L>R,20,0,Man,3,1
120,L<R,-80,1,Man,3,1
120,L<R,-80,4,Man,-3,1
140,L>R,20,2,Man,3,2
140,L>R,20,4,Man,-3,2
160,L>R,20,4,Man,-2,2
180,L>R,20,6,Man,-2,2
200,L>R,60,0,Man,3,1
200,L>R,40,3,Man,3,2
220,L>R,80,4,Man,3,2
220,L>R,40,1,Man,3,1
240,L>R,80,4,Man,3,2
240,L>R,80,5,Man,3,2
140,L<R,-60,0,Man,-3,1
160,L=R,0,2,Man,-3,2
160,L<R,-20,5,Man,-3,1
180,L>R,40,1,Man,3,2
220,L>R,60,1,Man,3,1
120,L<R,-60,3,Man,2,2
140,L<R,-40,6,Man,-2,2
160,L>R,40,1,Man,3,2
160,L>R,40,4,Man,3,2
180,L>R,20,1,Man,3,1
180,L<R,-20,4,Man,3,1
200,L>R,80,0,Man,3,1
240,L>R,100,2,Man,3,2
240,L>R,80,6,Man,2,2
120,L<R,-80,0,Man,3,1
120,L<R,-100,0,Man,-3,1
160,L>R,40,6,Man,-2,2
160,L>R,20,6,Man,-3,2
180,L>R,60,2,Man,3,2
180,L>R,40,0,Man,3,1
220,L>R,60,4,Man,3,2
240,L>R,80,2,Man,3,2
240,L>R,40,4,Man,2,2
120,L<R,-40,4,Man,-3,2
220,L>R,80,1,Man,3,2
200,L<R,-20,1,Man,2,2
120,L<R,-20,4,Man,-3,2
180,L>R,20,2,Man,3,2
240,L=R,0,0,Man,3,1
200,L=R,0,1,Man,3,1
140,L=R,0,2,Man,-3,2
200,L>R,60,5,Man,3,2
220,L>R,80,6,Man,3,2
220,L>R,100,2,Man,3,2
140,L<R,-40,4,Man,-3,1
240,L>R,100,1,Man,3,2
140,L>R,20,0,Man,3,1
120,L<R,-20,6,Man,-3,2
120,L<R,-40,6,Man,-2,2
140,L=R,0,3,Man,-3,2
140,L=R,0,6,Man,-3,2
160,L>R,40,3,Man,3,2
160,L=R,0,4,Man,-3,2
180,L>R,40,4,Man,2,2
180,L=R,0,1,Man,3,1
200,L>R,80,3,Man,3,2
200,L>R,60,3,Man,3,2
220,L>R,20,2,Man,3,1
240,L>R,120,4,Man,3,2
240,L>R,40,0,Man,3,1
120,L=R,0,2,Man,-3,2
120,L<R,-80,3,Man,-3,1
140,L=R,0,4,Man,-3,2
140,L<R,-80,1,Man,3,1
160,L=R,0,0,Man,3,1
160,L<R,-40,3,Man,-3,1
180,L>R,60,6,Man,3,2
180,L=R,0,5,Man,-2,2
200,L>R,60,1,Man,3,1
220,L>R,100,0,Man,3,1
220,L>R,40,0,Man,3,1
240,L>R,60,3,Man,3,2
120,L<R,-20,0,Man,3,1
140,L>R,20,5,Man,-3,2
160,L<R,-40,4,Man,-3,1
160,L<R,-60,1,Man,-3,1
180,L>R,20,4,Man,-2,2
180,L<R,-40,0,Man,3,1
200,L>R,80,6,Man,3,2
200,L>R,20,3,Man,3,2
220,L>R,80,0,Man,3,1
220,L>R,40,6,Man,3,2
240,L>R,60,5,Man,3,2
240,L>R,40,3,Man,2,1
120,L=R,0,0,Man,3,1
120,L<R,-20,2,Man,-2,2
140,L=R,0,0,Man,3,1
140,L<R,-40,2,Man,3,2
160,L>R,20,2,Man,3,2
160,L=R,0,1,Man,3,1
180,L>R,40,2,Man,3,2
180,L=R,0,3,Man,2,2
200,L>R,40,2,Man,3,2
200,L>R,20,4,Man,3,2
220,L>R,80,2,Man,3,2
220,L>R,20,1,Man,3,1
240,L>R,100,5,Man,3,2
120,L<R,-20,5,Man,3,2
120,L<R,-100,2,Man,3,1
140,L>R,20,1,Man,3,2
140,L<R,-100,0,Man,3,1
160,L=R,0,5,Man,-3,2
160,L<R,-20,0,Man,-3,1
180,L>R,40,5,Man,3,2
200,L<R,-20,2,Man,-1,1
220,L>R,60,0,Man,3,1
220,L>R,20,3,Man,3,1
240,L>R,120,2,Man,-1,1
240,L>R,20,2,Man,3,1
120,L<R,-60,2,Man,3,1
120,L<R,-100,1,Man,3,1
140,L<R,-40,3,Man,3,1
160,L>R,20,3,Man,3,2
160,L=R,0,3,Man,-3,2
180,L<R,-20,0,Man,3,1
180,L<R,-60,0,Man,-3,1
200,L>R,60,4,Man,3,2
200,L<R,-20,0,Man,-2,1
220,L>R,60,6,Man,3,2
240,L>R,80,1,Man,3,1
240,L>R,60,4,Man,3,2
120,L=R,0,3,Man,-3,2
120,L<R,-40,3,Man,-3,1
140,L>R,20,6,Man,-2,2
140,L<R,-20,3,Man,-3,1
160,L>R,20,1,Man,3,1
180,L>R,60,1,Man,3,2
180,L<R,-20,3,Man,-3,2
200,L>R,40,0,Man,3,1
200,L>R,40,1,Man,3,1
220,L>R,100,4,Man,3,2
220,L>R,100,6,Man,3,2
240,L>R,120,5,Man,1,2
240,L>R,40,2,Man,3,1
120,L<R,-40,5,Man,3,2
120,L<R,-80,2,Man,-3,1
140,L<R,-40,0,Man,-3,1
140,L<R,-80,0,Man,-3,1
160,L<R,-20,6,Man,-3,2
160,L<R,-60,2,Man,3,1
180,L=R,0,0,Man,3,1
180,L=R,0,2,Man,-2,2
200,L>R,20,6,Man,3,2
200,L=R,0,2,Man,3,1
220,L<R,-20,0,Man,3,1
240,L>R,20,1,Man,3,1
120,L<R,-60,1,Man,-3,1
120,L<R,-60,5,Man,-3,1
140,L>R,20,3,Man,-3,2
140,L<R,-80,2,Man,-3,1
160,L<R,-40,1,Man,-3,1
180,L=R,0,4,Man,-2,2
180,L<R,-20,1,Man,3,1
200,L>R,80,1,Man,3,2
200,L>R,20,2,Man,2,2
220,L>R,60,5,Man,3,2
220,L=R,0,0,Man,3,1
240,L>R,100,6,Man,2,2
120,L<R,-40,1,Man,-3,1
140,L<R,-20,5,Man,-3,2
140,L<R,-60,2,Man,-3,1
160,L<R,-20,3,Man,-3,2
180,L>R,60,4,Man,3,2
180,L=R,0,6,Man,-3,2
200,L>R,60,2,Man,3,2
200,L=R,0,3,Man,-3,2
220,L>R,60,2,Man,3,2
220,L>R,40,3,Man,3,2
240,L>R,100,0,Man,3,3
240,L>R,60,0,Man,3,1
120,L=R,0,1,Man,-3,2
120,L<R,-20,3,Man,-3,2
140,L<R,-60,4,Man,-3,1
160,L>R,20,0,Man,-3,3
160,L<R,-60,0,Man,-3,1
180,L>R,20,5,Man,-3,2
200,L>R,80,4,Man,3,2
200,L=R,0,4,Man,-3,2
220,L>R,40,2,Man,3,2
220,L=R,0,2,Man,3,1
240,L>R,80,0,Man,3,1
240,L>R,40,1,Man,3,1
120,L=R,0,6,Man,-3,2
120,L<R,-40,2,Man,-3,1
140,L<R,-40,5,Man,-3,1
140,L<R,-60,3,Man,-3,1
160,L<R,-20,4,Man,-3,2
160,L<R,-40,2,Man,-3,1
180,L>R,60,3,Man,3,2
180,L>R,40,3,Man,3,2
200,L>R,40,6,Man,-3,2
220,L>R,100,1,Man,3,2
220,L>R,80,5,Man,3,2
240,L>R,120,1,Man,3,3
240,L>R,80,3,Man,3,2
120,L=R,0,5,Man,-3,2
140,L=R,0,5,Man,-3,2
140,L<R,-20,6,Man,-3,1
160,L>R,40,0,Man,3,3
180,L<R,-40,2,Man,-3,1
200,L>R,40,4,Man,3,2
200,L>R,20,0,Man,3,1
220,L>R,100,5,Man,3,2
220,L>R,20,4,Man,3,1
240,L>R,120,3,Man,3,2
240,L>R,100,3,Man,3,2
120,L<R,-20,1,Man,-3,1
120,L<R,-120,0,Man,-3,1
140,L<R,-20,0,Man,-3,1
140,L<R,-40,1,Man,-3,1
160,L<R,-20,1,Man,-3,1
180,L>R,60,0,Man,3,3
180,L>R,20,3,Man,3,1
200,L>R,80,5,Man,3,2
200,L>R,40,5,Man,3,2
220,L>R,100,3,Man,3,2
220,L>R,40,5,Man,3,2
240,L>R,120,0,Man,3,3
240,L>R,60,1,Man,3,1
120,L=R,0,4,Man,-3,2
120,L<R,-60,6,Man,-3,1
140,L=R,0,1,Man,-3,2
140,L<R,-20,4,Man,-3,2
160,L>R,40,5,Man,3,2
160,L<R,-20,2,Man,-3,1
180,L>R,60,5,Man,3,2
180,L<R,-20,2,Man,-3,1
200,L>R,60,6,Man,3,2
200,L<R,-40,0,Man,-3,1
220,L=R,0,1,Man,3,1
240,L>R,100,4,Man,3,2
160,L=R,0,6,Man,-3,2
120,L<R,-60,0,Man,-3,1
120,L<R,-60,4,Man,-3,1
140,L<R,-20,2,Man,-3,1
160,L>R,40,2,Man,3,2
160,L<R,-40,0,Man,-3,1
180,L>R,40,6,Man,-3,2
200,L>R,80,2,Man,3,2
200,L>R,20,5,Man,-3,2
220,L>R,60,3,Man,3,2
220,L>R,20,0,Man,3,1
240,L>R,120,6,Man,3,2
240,L>R,60,6,Man,3,2
120,L<R,-40,0,Man,-3,1
140,L<R,-20,1,Man,-3,1
140,L<R,-60,1,Man,-3,1
160,L>R,20,5,Man,-3,2
160,L<R,-80,0,Man,-3,1
180,L>R,20,0,Man,3,1
180,L<R,-40,1,Man,-3,1
200,L>R,20,1,Man,3,1
200,L=R,0,0,Man,3,1
220,L>R,80,3,Man,3,2
220,L>R,40,4,Man,3,2
240,L>R,60,2,Man,3,2
240,L>R,20,0,Man,3,1
120,L<R,-80,1,Man,-3,1
120,L<R,-80,4,Man,-3,1
140,L>R,20,2,Man,3,2
140,L>R,20,4,Man,-3,2
160,L>R,20,4,Man,-3,2
180,L>R,20,6,Man,-3,2
200,L>R,60,0,Man,3,3
200,L>R,40,3,Man,3,2
220,L>R,80,4,Man,3,2
220,L>R,40,1,Man,3,1
240,L>R,80,4,Man,3,2
240,L>R,80,5,Man,3,2
140,L<R,-60,0,Man,-3,1
160,L=R,0,2,Man,-3,2
160,L<R,-20,5,Man,-3,2
180,L>R,40,1,Man,3,3
220,L>R,60,1,Man,3,1
120,L<R,-60,3,Man,-3,1
140,L<R,-40,6,Man,-3,1
160,L>R,40,1,Man,3,3
160,L>R,40,4,Man,-3,2
180,L>R,20,1,Man,3,1
180,L<R,-20,4,Man,-3,1
200,L>R,80,0,Man,3,3
240,L>R,100,2,Man,3,3
240,L>R,80,6,Man,3,2
120,L<R,-80,0,Man,-3,1
120,L<R,-100,0,Man,-3,1
160,L>R,40,6,Man,-3,2
160,L>R,20,6,Man,-3,2
180,L>R,60,2,Man,3,2
180,L>R,40,0,Man,3,1
220,L>R,60,4,Man,3,2
240,L>R,80,2,Man,3,3
240,L>R,40,4,Man,3,2
120,L<R,-40,4,Man,-3,1
220,L>R,80,1,Man,3,3
200,L<R,-20,1,Man,-3,1
120,L<R,-20,4,Man,-3,2
180,L>R,20,2,Man,3,1
240,L=R,0,0,Man,3,1
200,L=R,0,1,Man,3,1
140,L=R,0,2,Man,-3,2
200,L>R,60,5,Man,3,2
220,L>R,80,6,Man,3,2
220,L>R,100,2,Man,3,2
140,L<R,-40,4,Man,-3,1
240,L>R,100,1,Man,3,3
140,L>R,20,0,Man,3,3
120,L<R,-20,6,Man,-3,2
120,L<R,-40,6,Man,-3,2
140,L=R,0,3,Man,-3,2
140,L=R,0,6,Man,-3,2
160,L>R,40,3,Man,3,2
160,L=R,0,4,Man,-3,2
180,L>R,40,4,Man,3,2
180,L=R,0,1,Man,3,1
200,L>R,80,3,Man,3,2
200,L>R,60,3,Man,3,2
220,L>R,20,2,Man,3,2
240,L>R,120,4,Man,3,2
240,L>R,40,0,Man,3,1
120,L=R,0,2,Man,-3,2
120,L<R,-80,3,Man,-3,1
140,L=R,0,4,Man,-3,2
140,L<R,-80,1,Man,-3,1
160,L=R,0,0,Man,3,1
160,L<R,-40,3,Man,-3,1
180,L>R,60,6,Man,2,2
180,L=R,0,5,Man,-3,2
200,L>R,60,1,Man,3,1
220,L>R,100,0,Man,3,3
220,L>R,40,0,Man,3,1
240,L>R,60,3,Man,3,2
120,L<R,-20,0,Man,-3,1
140,L>R,20,5,Man,-3,2
160,L<R,-40,4,Man,-3,1
160,L<R,-60,1,Man,-3,1
180,L>R,20,4,Man,3,2
180,L<R,-40,0,Man,-3,1
200,L>R,80,6,Man,3,2
200,L>R,20,3,Man,1,2
220,L>R,80,0,Man,3,3
220,L>R,40,6,Man,3,2
240,L>R,60,5,Man,3,2
240,L>R,40,3,Man,3,2
120,L=R,0,0,Man,3,1
120,L<R,-20,2,Man,-2,1
140,L=R,0,0,Man,3,1
140,L<R,-40,2,Man,-3,1
160,L>R,20,2,Man,3,2
160,L=R,0,1,Man,3,1
180,L>R,40,2,Man,3,2
180,L=R,0,3,Man,-2,2
200,L>R,40,2,Man,3,2
200,L>R,20,4,Man,-3,2
220,L>R,80,2,Man,3,2
220,L>R,20,1,Man,3,1
240,L>R,100,5,Man,3,2
120,L<R,-20,5,Man,-3,2
120,L<R,-100,2,Man,-3,1
140,L>R,20,1,Man,1,3
140,L<R,-100,0,Man,-3,1
160,L=R,0,5,Man,-3,2
160,L<R,-20,0,Man,-2,1
180,L>R,40,5,Man,2,2
200,L<R,-20,2,Man,-3,1
220,L>R,60,0,Man,3,1
220,L>R,20,3,Man,2,2
240,L>R,120,2,Man,3,3
240,L>R,20,2,Man,3,1
120,L<R,-60,2,Man,-3,1
120,L<R,-100,1,Man,-3,1
140,L<R,-40,3,Man,-3,1
160,L>R,20,3,Man,1,2
160,L=R,0,3,Man,-3,2
180,L<R,-20,0,Man,-3,1
180,L<R,-60,0,Man,-3,1
200,L>R,60,4,Man,3,2
200,L<R,-20,0,Man,-3,1
220,L>R,60,6,Man,3,2
240,L>R,80,1,Man,3,3
240,L>R,60,4,Man,3,2
120,L=R,0,3,Man,-3,2
120,L<R,-40,3,Man,-3,1
140,L>R,20,6,Man,-3,2
140,L<R,-20,3,Man,-3,2
160,L>R,20,1,Man,3,1
180,L>R,60,1,Man,3,2
180,L<R,-20,3,Man,-3,1
200,L>R,40,0,Man,3,1
200,L>R,40,1,Man,3,1
220,L>R,100,4,Man,3,2
220,L>R,100,6,Man,3,2
240,L>R,120,5,Man,3,2
240,L>R,40,2,Man,3,2
120,L<R,-40,5,Man,-3,1
120,L<R,-80,2,Man,-3,1
140,L<R,-40,0,Man,-3,1
140,L<R,-80,0,Man,-3,1
160,L<R,-20,6,Man,-3,2
160,L<R,-60,2,Man,-3,1
180,L=R,0,0,Man,3,1
180,L=R,0,2,Man,-3,2
200,L>R,20,6,Man,3,2
200,L=R,0,2,Man,-2,2
220,L<R,-20,0,Man,-2,1
240,L>R,20,1,Man,3,1
120,L<R,-60,1,Man,-3,1
120,L<R,-60,5,Man,-3,1
140,L>R,20,3,Man,-3,2
140,L<R,-80,2,Man,-3,1
160,L<R,-40,1,Man,-3,1
180,L=R,0,4,Man,-3,2
180,L<R,-20,1,Man,-3,1
200,L>R,80,1,Man,3,2
200,L>R,20,2,Man,1,1
220,L>R,60,5,Man,3,2
220,L=R,0,0,Man,3,1
240,L>R,100,6,Man,3,2
120,L<R,-40,1,KRn,-1,1
140,L<R,-20,5,KRn,-3,2
140,L<R,-60,2,KRn,-2,1
160,L<R,-20,3,KRn,-3,2
180,L>R,60,4,KRn,-3,3
180,L=R,0,6,KRn,-2,2
200,L>R,60,2,KRn,2,2
200,L=R,0,3,KRn,1,2
